"Total","Jahr","Beruf","Geschlecht","Anzahl"
7779,"2010","Total","Frauen",3539
7779,"2010","Total","Männer",4240
1270,"2010","Kaufmann/-frau","Frauen",737
1270,"2010","Kaufmann/-frau","Männer",533
474,"2010","Detailhandelsfachmann/-frau","Frauen",245
474,"2010","Detailhandelsfachmann/-frau","Männer",229
472,"2010","Fachmann/-frau Betreuung","Frauen",396
472,"2010","Fachmann/-frau Betreuung","Männer",76
458,"2010","Fachmann/-frau Gesundheit","Frauen",406
458,"2010","Fachmann/-frau Gesundheit","Männer",52
330,"2010","Kaufmann/-frau","Frauen",185
330,"2010","Kaufmann/-frau","Männer",145
316,"2010","Informatiker/in","Frauen",40
316,"2010","Informatiker/in","Männer",276
271,"2010","Elektroinstallateur/in","Frauen",5
271,"2010","Elektroinstallateur/in","Männer",266
209,"2010","Medizinische/r Praxisassistent/in","Frauen",203
209,"2010","Medizinische/r Praxisassistent/in","Männer",6
209,"2010","Zeichner/in","Frauen",61
209,"2010","Zeichner/in","Männer",148
192,"2010","Polymechaniker/in","Frauen",9
192,"2010","Polymechaniker/in","Männer",183
174,"2010","Logistiker/in","Frauen",16
174,"2010","Logistiker/in","Männer",158
168,"2010","Koch/Köchin","Frauen",50
168,"2010","Koch/Köchin","Männer",118
166,"2010","Dentalassistent/in","Frauen",164
166,"2010","Dentalassistent/in","Männer",2
135,"2010","Automobil-Fachmann/-frau","Frauen",9
135,"2010","Automobil-Fachmann/-frau","Männer",126
132,"2010","Pharma-Assistent/in","Frauen",125
132,"2010","Pharma-Assistent/in","Männer",7
126,"2010","Detailhandelsassistent/in","Frauen",67
126,"2010","Detailhandelsassistent/in","Männer",59
107,"2010","Automobil-Mechatroniker/in","Frauen",2
107,"2010","Automobil-Mechatroniker/in","Männer",105
101,"2010","Fachmann/-frau Betriebsunterhalt","Frauen",4
101,"2010","Fachmann/-frau Betriebsunterhalt","Männer",97
94,"2010","Schreiner/in","Frauen",10
94,"2010","Schreiner/in","Männer",84
88,"2010","Gärtner/-in","Frauen",15
88,"2010","Gärtner/-in","Männer",73
86,"2010","Automatiker/in","Frauen",6
86,"2010","Automatiker/in","Männer",80
83,"2010","Coiffeur/-euse","Frauen",75
83,"2010","Coiffeur/-euse","Männer",8
82,"2010","Assistent/in Gesundheit und Soziales","Frauen",68
82,"2010","Assistent/in Gesundheit und Soziales","Männer",14
81,"2010","Sanitärinstallateur/in","Frauen",1
81,"2010","Sanitärinstallateur/in","Männer",80
80,"2010","Zimmermann/Zimmerin","Frauen",2
80,"2010","Zimmermann/Zimmerin","Männer",78
