Rang,Gewählter Beruf,Total,Anteil in %,Frauen,Männer
,"Total",7735,100.00,3446,4289
1,"Kaufmann/Kauffrau Erw. Grundbildung (E-Profil)",1505,19.46,943,562
2,"Detailhandelsfachmann/-frau Beratung EFZ",459,5.93,255,204
3,"Fachmann/-frau Gesundheit EFZ",386,4.99,341,45
4,"Elektroinstallateur/in EFZ",319,4.12,4,315
5,"Fachmann/-frau Betreuung (Kinderbetreuung) EFZ",238,3.08,223,15
6,"Kaufmann/Kauffrau Basisbildung (B-Profil)",219,2.83,128,91
7,"Koch/Köchin EFZ",207,2.68,59,148
8,"Polymechaniker/in EFZ",200,2.59,4,196
9,"Dentalassistent/in EFZ",153,1.98,146,7
10,"Zeichner/in (Architektur) EFZ",134,1.73,37,97
11,"Logistiker/in EFZ",133,1.72,21,112
12,"Coiffeur/-euse EFZ",122,1.58,111,11
13,"Med. Praxisassistent/in EFZ",116,1.50,115,1
14,"Detailhandelsassistent/in EBA",110,1.42,72,38
15,"Automobil-Fachmann/-frau (Personenwagen) EFZ",106,1.37,5,101
16,"Fachmann/-frau Betriebsunterhalt EFZ",99,1.28,2,97
17,"Informatiker/in (Systemtechnik) EFZ",97,1.25,6,91
18,"Schreiner/in (Möbel/Innenausbau)",96,1.24,7,89
19,"Pharma-Assistent/in EFZ",93,1.20,87,6
20,"Automatiker/in EFZ",92,1.19,2,90
20,"Maurer/in EFZ",92,1.19,1,91
20,"Sanitärinstallateur/in EFZ",92,1.19,0,92
20,"Zimmermann/Zimmerin",92,1.19,1,91
24,"Detailhandelsfachmann/-frau  Bewirtschaftung EFZ",85,1.10,45,40
25,"Konstrukteur/in EFZ",84,1.09,4,80
26,"Informatiker/in (Applikationsentwicklung) EFZ",83,1.07,7,76
27,"Automobil-Mechatroniker/in (Personenwagen) EFZ",81,1.05,2,79
28,"Gärtner/in (Garten- u. Landschaftsbau)",72,0.93,6,66
29,"Restaurationsfachmann/-frau EFZ",71,0.92,55,16
30,"Maler/in",67,0.87,29,38
31,"Elektroniker/in EFZ",66,0.85,6,60
32,"Informatiker/in (Generalistische Ausbildung) EFZ",55,0.71,4,51
33,"Assistent/in Gesundheit und Soziales EBA",53,0.69,50,3
33,"Logistiker/in EBA",53,0.69,7,46
35,"Fachmann/-frau Betreuung (Betagtenbetreuung) EFZ",52,0.67,45,7
36,"Montage-Elektriker/in EFZ",50,0.65,0,50
37,"Hotelfachmann/-frau EFZ",49,0.63,40,9
37,"Zeichner/in (Ingenieurbau) EFZ",49,0.63,18,31
39,"Bäcker-Konditor-Confiseur/-in EFZ",46,0.59,36,10
40,"Informatiker/in (Support) EFZ",41,0.53,5,36
41,"Heizungsinstallateur/in EFZ",40,0.52,1,39
42,"Drogist/in EFZ",39,0.50,36,3
42,"Metallbauer/in EFZ",39,0.50,2,37
44,"Augenoptiker/in EFZ",36,0.47,30,6
45,"Coiffeur/-euse EBA",33,0.43,28,5
45,"Florist/in EFZ",33,0.43,32,1
47,"Fachmann/-frau Betreuung (Generalist. Ausb.) EFZ",31,0.40,28,3
48,"Produktionsmechaniker/in EFZ",29,0.37,2,27
49,"Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ",28,0.36,0,28
49,"Landwirt/in EFZ",28,0.36,2,26
51,"Anlagen- und Apparatebauer/in",27,0.35,0,27
51,"Mediamatiker/in EFZ",27,0.35,8,19
51,"Spengler/in EFZ",27,0.35,1,26
54,"Büroassistent/in EBA",26,0.34,16,10
54,"Geomatiker/in EFZ",26,0.34,6,20
56,"Elektroplaner/in EFZ",24,0.31,5,19
57,"Automobil-Assistent/in EBA",22,0.28,1,21
57,"Bekleidungsgestalter/in (Damenbekleidung)",22,0.28,22,0
57,"Carrossier/in Lackiererei EFZ",22,0.28,4,18
60,"Bäcker-Konditor-Confiseur/-in EBA",21,0.27,17,4
60,"Carrossier/in Spenglerei EFZ",21,0.27,1,20
60,"Hauswirtschaftspraktiker/in EBA",21,0.27,16,5
60,"Landmaschinenmechaniker/in EFZ",21,0.27,0,21
64,"Forstwart/in EFZ",20,0.26,1,19
65,"Drucktechnologe/-login EFZ",19,0.25,8,11
66,"Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ",18,0.23,1,17
66,"Fachmann/-frau Hauswirtschaft EFZ",18,0.23,18,0
66,"Gärtner/-in EBA (Garten-und Landschaftsbau)",18,0.23,1,17
66,"Multimediaelektroniker/in",18,0.23,2,16
70,"Fleischfachmann/-frau EFZ",17,0.22,4,13
70,"Haustechnikpraktiker/in EBA",17,0.22,0,17
70,"Laborant/in (Chemie) EFZ",17,0.22,5,12
70,"Tiermed. Praxisassistent/in EFZ",17,0.22,16,1
74,"Laborant/in (Biologie) EFZ",15,0.19,2,13
74,"Schreinerpraktiker/in EBA",15,0.19,1,14
76,"Informatikpraktiker/in EBA",14,0.18,2,12
