"Studierende an den pädagogischen Hochschulen (ohne FH) nach Jahr, Fachrichtung, Geschlecht und Hochschule"

"Jahr";"Fachrichtung";"Geschlecht";"PH Zürich"
"2019/20";"Vorschul- und Primarstufe";"Mann";439
"2019/20";"Vorschul- und Primarstufe";"Frau";1640
"2019/20";"Sekundarstufe I";"Mann";474
"2019/20";"Sekundarstufe I";"Frau";544
"2019/20";"Sekundarstufe I und II zusammen";"Mann";0
"2019/20";"Sekundarstufe I und II zusammen";"Frau";0
"2019/20";"Sekundarstufe II (Gymnasiale Maturitätsschulen)";"Mann";0
"2019/20";"Sekundarstufe II (Gymnasiale Maturitätsschulen)";"Frau";0
"2019/20";"Sekundarstufe II (Berufsbildung)";"Mann";187
"2019/20";"Sekundarstufe II (Berufsbildung)";"Frau";183
"2019/20";"Berufsbildung allgemein";"Mann";0
"2019/20";"Berufsbildung allgemein";"Frau";0
"2019/20";"Logopädie";"Mann";0
"2019/20";"Logopädie";"Frau";0
"2019/20";"Psychomotoriktherapie";"Mann";0
"2019/20";"Psychomotoriktherapie";"Frau";0
"2019/20";"Heilpädagogik";"Mann";0
"2019/20";"Heilpädagogik";"Frau";0
"2019/20";"Fachdidaktik";"Mann";36
"2019/20";"Fachdidaktik";"Frau";91
"2019/20";"Lehrkräfteausbildung allgemein";"Mann";4
"2019/20";"Lehrkräfteausbildung allgemein";"Frau";7
"2018/19";"Vorschul- und Primarstufe";"Mann";423
"2018/19";"Vorschul- und Primarstufe";"Frau";1640
"2018/19";"Sekundarstufe I";"Mann";490
"2018/19";"Sekundarstufe I";"Frau";567
"2018/19";"Sekundarstufe I und II zusammen";"Mann";0
"2018/19";"Sekundarstufe I und II zusammen";"Frau";0
"2018/19";"Sekundarstufe II (Gymnasiale Maturitätsschulen)";"Mann";0
"2018/19";"Sekundarstufe II (Gymnasiale Maturitätsschulen)";"Frau";0
"2018/19";"Sekundarstufe II (Berufsbildung)";"Mann";183
"2018/19";"Sekundarstufe II (Berufsbildung)";"Frau";160
"2018/19";"Berufsbildung allgemein";"Mann";0
"2018/19";"Berufsbildung allgemein";"Frau";0
"2018/19";"Logopädie";"Mann";0
"2018/19";"Logopädie";"Frau";0
"2018/19";"Psychomotoriktherapie";"Mann";0
