"Jahr","Fachbereich","Mann","Frau","Total","Frau_Proz","Mann_Proz"
"2010/11","Berufsbildung allgemein",0,0,0,0,0
"2010/11","Fachdidaktik",0,0,0,0,0
"2010/11","Heilpädagogik",0,0,0,0,0
"2010/11","Lehrkräfteausbildung allgemein",28,20,48,41.7,58.3
"2010/11","Logopädie",0,0,0,0,0
"2010/11","Psychomotoriktherapie",0,0,0,0,0
"2010/11","Sekundarstufe I",269,487,756,64.4,35.6
"2010/11","Sekundarstufe I und II zusammen",0,0,0,0,0
"2010/11","Sekundarstufe II (Berufsbildung)",0,0,0,0,0
"2010/11","Sekundarstufe II (Gymnasiale Maturitätsschulen)",0,0,0,0,0
"2010/11","Vorschul- und Primarstufe",135,992,1127,88,12
"2011/12","Berufsbildung allgemein",0,0,0,0,0
"2011/12","Fachdidaktik",7,8,15,53.3,46.7
"2011/12","Heilpädagogik",0,0,0,0,0
"2011/12","Lehrkräfteausbildung allgemein",25,23,48,47.9,52.1
"2011/12","Logopädie",0,0,0,0,0
"2011/12","Psychomotoriktherapie",0,0,0,0,0
"2011/12","Sekundarstufe I",245,436,681,64,36
"2011/12","Sekundarstufe I und II zusammen",0,0,0,0,0
"2011/12","Sekundarstufe II (Berufsbildung)",44,21,65,32.3,67.7
"2011/12","Sekundarstufe II (Gymnasiale Maturitätsschulen)",0,0,0,0,0
"2011/12","Vorschul- und Primarstufe",149,1088,1237,88,12
"2012/13","Berufsbildung allgemein",0,0,0,0,0
"2012/13","Fachdidaktik",9,14,23,60.9,39.1
"2012/13","Heilpädagogik",0,0,0,0,0
"2012/13","Lehrkräfteausbildung allgemein",14,12,26,46.2,53.8
"2012/13","Logopädie",0,0,0,0,0
"2012/13","Psychomotoriktherapie",0,0,0,0,0
"2012/13","Sekundarstufe I",310,492,802,61.3,38.7
"2012/13","Sekundarstufe I und II zusammen",0,0,0,0,0
"2012/13","Sekundarstufe II (Berufsbildung)",100,63,163,38.7,61.3
"2012/13","Sekundarstufe II (Gymnasiale Maturitätsschulen)",0,0,0,0,0
"2012/13","Vorschul- und Primarstufe",231,1474,1705,86.5,13.5
"2013/14","Berufsbildung allgemein",0,0,0,0,0
"2013/14","Fachdidaktik",16,29,45,64.4,35.6
"2013/14","Heilpädagogik",0,0,0,0,0
"2013/14","Lehrkräfteausbildung allgemein",9,6,15,40,60
"2013/14","Logopädie",0,0,0,0,0
"2013/14","Psychomotoriktherapie",0,0,0,0,0
"2013/14","Sekundarstufe I",386,541,927,58.4,41.6
"2013/14","Sekundarstufe I und II zusammen",0,0,0,0,0
"2013/14","Sekundarstufe II (Berufsbildung)",163,128,291,44,56
"2013/14","Sekundarstufe II (Gymnasiale Maturitätsschulen)",0,0,0,0,0
"2013/14","Vorschul- und Primarstufe",285,1659,1944,85.3,14.7
"2014/15","Berufsbildung allgemein",0,0,0,0,0
"2014/15","Fachdidaktik",22,32,54,59.3,40.7
"2014/15","Heilpädagogik",0,0,0,0,0
"2014/15","Lehrkräfteausbildung allgemein",11,6,17,35.3,64.7
"2014/15","Logopädie",0,0,0,0,0
"2014/15","Psychomotoriktherapie",0,0,0,0,0
"2014/15","Sekundarstufe I",400,567,967,58.6,41.4
"2014/15","Sekundarstufe I und II zusammen",0,0,0,0,0
"2014/15","Sekundarstufe II (Berufsbildung)",187,144,331,43.5,56.5
"2014/15","Sekundarstufe II (Gymnasiale Maturitätsschulen)",4,3,7,42.9,57.1
"2014/15","Vorschul- und Primarstufe",295,1677,1972,85,15
"2015/16","Berufsbildung allgemein",0,0,0,0,0
"2015/16","Fachdidaktik",24,37,61,60.7,39.3
"2015/16","Heilpädagogik",0,0,0,0,0
"2015/16","Lehrkräfteausbildung allgemein",8,0,8,0,100
"2015/16","Logopädie",0,0,0,0,0
"2015/16","Psychomotoriktherapie",0,0,0,0,0
"2015/16","Sekundarstufe I",435,565,1000,56.5,43.5
"2015/16","Sekundarstufe I und II zusammen",0,0,0,0,0
"2015/16","Sekundarstufe II (Berufsbildung)",199,156,355,43.9,56.1
"2015/16","Sekundarstufe II (Gymnasiale Maturitätsschulen)",12,5,17,29.4,70.6
